6월,,,,,,,,,,,7월,,,,,,,,
,서울,인천/경기,강원,대전/충청,광주/전라,대구/경북,부산/울산/경남,제주,,,,서울,인천/경기,강원,대전/충청,광주/전라,대구/경북,부산/울산/경남,제주
박근혜,48%,49%,62%,55%,27%,73%,57%,56%,,,박근혜,47%,47%,48%,52%,21%,66%,56%,53%
문재인,32%,31%,17%,25%,49%,13%,25%,29%,,,문재인,33%,32%,27%,30%,56%,16%,25%,33%
모름/없음,20%,21%,20%,20%,24%,14%,18%,15%,,,모름/없음,20%,21%,25%,18%,23%,18%,19%,14%
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
8월,,,,,,,,,,,9월,,,,,,,,
,서울,인천/경기,강원,대전/충청,광주/전라,대구/경북,부산/울산/경남,제주,,,,서울,인천/경기,강원,대전/충청,광주/전라,대구/경북,부산/울산/경남,제주
박근혜,47%,49%,56%,51%,19%,69%,58%,46%,,,박근혜,44%,46%,55%,51%,18%,67%,56%,61%
문재인,34%,33%,18%,29%,54%,16%,28%,33%,,,문재인,43%,42%,34%,37%,66%,24%,33%,28%
모름/없음,19%,17%,25%,20%,27%,15%,14%,21%,,,모름/없음,13%,12%,11%,11%,16%,9%,10%,10%
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
10월,,,,,,,,,,,11월,,,,,,,,
,서울,인천/경기,강원,대전/충청,광주/전라,대구/경북,부산/울산/경남,제주,,,,서울,인천/경기,강원,대전/충청,광주/전라,대구/경북,부산/울산/경남,제주
박근혜,44%,45%,54%,53%,16%,70%,54%,43%,,,박근혜,42%,44%,48%,52%,17%,70%,55%,71%
문재인,47%,46%,41%,41%,73%,22%,40%,44%,,,문재인,48%,48%,43%,40%,73%,22%,38%,18%
모름/없음,9%,9%,5%,6%,11%,8%,6%,12%,,,모름/없음,10%,9%,9%,8%,10%,8%,7%,11%
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
12-1월,,,,,,,,,,,12-2월,,,,,,,,
,서울,인천/경기,강원,대전/충청,광주/전라,대구/경북,부산/울산/경남,제주,,,,서울,인천/경기,강원,대전/충청,광주/전라,대구/경북,부산/울산/경남,제주
박근혜,42%,44%,49%,56%,19%,68%,53%,-,,,박근혜,40%,42%,56%,44%,11%,72%,51%,-
문재인,44%,43%,36%,37%,64%,22%,39%,-,,,문재인,51%,46%,37%,44%,79%,15%,38%,-
기타,2%,1%,0%,2%,3%,1%,1%,-,,,기타,0%,0%,0%,0%,1%,1%,0%,-
모름/없음,12%,11%,15%,5%,14%,9%,7%,-,,,모름/없음,9%,11%,7%,12%,9%,12%,10%,-
